n,configuration,term,S,L,J,energy_au,energy_cm,gf,conf%,converged,conf2,conf2%
1,5s2,1S0,0.000,0.000,0.000,0.61692578,0.00,,92.49145,True,,
2,5s 4d,3D1,1.000,2.000,1.000,0.53360755,18286.24,0.50000,94.38849,True,,
3,5s 4d,3D2,0.998,2.000,2.000,0.53332056,18349.23,1.16628,94.33465,True,,
4,5s 4d,3D3,1.000,2.000,3.000,0.53284867,18452.79,1.33331,94.29856,True,,
5,5s 4d,1D2,0.005,2.000,2.000,0.52389445,20418.02,1.00039,81.69651,True,,
6,5s 6s,3S1,1.000,0.000,1.000,0.48389195,29197.55,1.99997,87.07850,True,,
7,5s 6s,1S0,0.000,0.000,0.000,0.47677891,30758.68,,73.37964,True,,
8,5s 5d,1D2,0.008,1.998,2.000,0.45778148,34928.14,1.00142,57.86703,True,5s 6d,23.85238
9,5s 5d,3D1,1.000,1.999,1.000,0.45662477,35182.01,0.50090,62.82692,True,5s 6d,32.95528
10,5s 5d,3D2,0.999,1.999,2.000,0.45655552,35197.21,1.16669,62.65929,True,5s 6d,33.06473
11,5s 5d,3D3,1.000,2.000,3.000,0.45645178,35219.97,1.33332,62.55978,True,5s 6d,33.34060
12,5p2,3P0,0.983,0.983,0.000,0.45510709,35515.10,,63.05416,True,4d2,27.02275
13,5p2,3P1,1.000,1.001,1.000,0.45416596,35721.65,1.49919,62.53552,True,4d2,27.56304
14,5p2,3P2,0.986,1.028,2.000,0.45291557,35996.08,1.48942,60.30202,True,4d2,28.59776
15,4d2,1D2,0.040,1.989,2.000,0.44726900,37235.36,1.00806,41.38231,True,5p2,29.68137
16,5s 7s,1S0,0.033,0.033,0.000,0.44622810,37463.81,,29.99631,True,5p2,21.34739
17,5s 7s,3S1,1.000,0.000,1.000,0.44568535,37582.93,1.99993,54.53691,True,5s 8s,39.15331
18,4d2,3F2,0.998,2.997,2.000,0.44230201,38325.49,0.66773,83.87466,True,,
19,4d2,3F3,1.000,3.000,3.000,0.44192521,38408.19,1.08331,84.02503,True,,
20,4d2,3F4,1.000,3.001,4.000,0.44140475,38522.41,1.24983,84.03607,True,,
21,5s 8s,1S0,0.015,0.015,0.000,0.44054164,38711.84,,38.87919,True,5p2,18.44175
22,5s 7d,3D1,1.000,2.000,1.000,0.43536260,39848.51,0.50001,63.35520,True,5s 6d,18.70190
23,5s 7d,3D2,0.983,2.000,2.000,0.43533799,39853.91,1.16238,63.37046,True,5s 6d,18.54699
24,5s 7d,3D3,1.000,2.000,3.000,0.43528439,39865.68,1.33333,63.61826,True,5s 6d,18.33590
