n,configuration,term,S,L,J,energy_au,energy_cm,gf,conf%,converged,conf2,conf2%
1,5s 5p,3P1,0.999,1.000,1.000,0.54983927,0.00,1.49947,95.49862,True,,
2,5s 5p,3P2,1.000,1.000,2.000,0.54803568,395.84,1.49999,95.39390,True,,
3,5s 5p,1P1,0.002,1.000,1.000,0.51754587,7087.58,1.00052,76.25590,True,,
4,5p 4d,3F2,0.862,2.824,2.000,0.46381246,18880.70,0.73395,91.35277,True,,
5,5p 4d,3F3,1.000,2.999,3.000,0.46223131,19227.72,1.08357,90.77166,True,,
6,5s 6p,3P1,0.943,1.000,1.000,0.46180088,19322.19,1.45782,70.85091,True,,
7,5p 4d,2D2,0.586,1.923,2.000,0.46161850,19362.22,1.10906,65.54355,True,5s 6p,22.08907
8,5s 6p,3P2,0.812,1.455,2.000,0.46126661,19439.45,1.32502,49.02578,True,5p 4d,31.61375
9,5s 6p,1P1,0.148,1.001,1.000,0.46072131,19559.13,1.04179,64.11276,True,5s 7p,22.33330
10,5p 4d,3F4,1.000,3.000,4.000,0.46071337,19560.87,1.25000,90.59309,True,,
11,5p 4d,3D1,0.998,1.996,1.000,0.45059879,21780.77,0.50381,88.16310,True,,
12,5p 4d,3D2,1.000,1.996,2.000,0.45005170,21900.84,1.16830,88.29269,True,,
