n,configuration,term,S,L,J,energy_au,energy_cm,gf,conf%,converged,conf2,conf2%
1,2s2 2p6,1S0,0.000,0.000,0.000,482.71085202,0.00,,99.53218,True,,
2,2s2 2p5 3p,3S1,0.998,0.307,1.000,454.94951862,6092908.42,1.89814,95.28202,True,,
3,2s2 2p5 3p,3D2,0.786,1.905,2.000,454.82106862,6121099.93,1.15567,95.52859,True,,
4,2s2 2p5 3p,3D3,1.000,2.000,3.000,454.76214096,6134033.06,1.33333,95.62806,True,,
5,2s2 2p5 3p,2P1,0.612,1.285,1.000,454.72016384,6143245.97,1.01249,95.43928,True,,
