state_configuration,state_term,state_J,energy,energy_uncertainty,is_from_theory
4s.26s,3S,1,49108.15,,FALSE
4s.26s,1S,0,49109.85,,FALSE
4s.25d,1D,2,49113.41,,FALSE
4s.25d,3D,2,49118.24,,FALSE
4s.27s,3S,1,49124.02,,FALSE
4s.27s,1S,0,49125.44,,FALSE
4s.26d,1D,2,49128.34,,FALSE
4s.26d,3D,2,49132.77,,FALSE
4s.28s,3S,1,49138.06,,FALSE
4s.28s,1S,0,49139.31,,FALSE
4s.27d,1D,2,49141.63,,FALSE
4s.27d,3D,2,49145.66,,FALSE
4s.29s,3S,1,49150.30,,FALSE
4s.29s,1S,0,49151.59,,FALSE
4s.28d,1D,2,49153.49,,FALSE
4s.28d,3D,2,49157.39,,FALSE
4s.30s,3S,1,49161.54,,FALSE
4s.30s,1S,0,49162.47,,FALSE
4s.29d,1D,2,49164.12,,FALSE
4s.29d,3D,2,49167.55,,FALSE
4s.31s,3S,1,49171.42,,FALSE
4s.31s,1S,0,49172.43,,FALSE
4s.30d,1D,2,49173.70,,FALSE
4s.30d,3D,2,49177.13,,FALSE
4s.32s,3S,1,49180.48,,FALSE
4s.32s,1S,0,49181.49,,FALSE
4s.31d,1D,2,49182.36,,FALSE
4s.31d,3D,2,49185.24,,FALSE
4s.33s,3S,1,49188.37,,FALSE
4s.32d,1D,2,49190.17,,FALSE
4s.32d,3D,2,49193.06,,FALSE
4s.34s,3S,1,49195.64,,FALSE
4s.33d,1D,2,49197.30,,FALSE
4s.33d,3D,2,49199.93,,FALSE
4s.35s,3S,1,49202.47,,FALSE
4s.34d,1D,2,49203.78,,FALSE
4s.34d,3D,2,49206.17,,FALSE
4s.36s,3S,1,49208.53,,FALSE
4s.35d,1D,2,49209.68,,FALSE
4s.35d,3D,2,49212.01,,FALSE
4s.36d,1D,2,49215.11,,FALSE
4s.36d,3D,2,49217.18,,FALSE
4s.37d,1D,2,49220.10,,FALSE
4s.37d,3D,2,49222.06,,FALSE
4s.38d,1D,2,49224.70,,FALSE
4s.38d,3D,2,49226.56,,FALSE
4s.39d,1D,2,49228.92,,FALSE
4s.39d,3D,2,49230.54,,FALSE
4s.40d,1D,2,49232.81,,FALSE
4s.40d,3D,2,49234.47,,FALSE
4s.41d,1D,2,49236.45,,FALSE
4s.41d,3D,2,49237.82,,FALSE
4s.42d,1D,2,49239.80,,FALSE
4s.42d,3D,2,49241.09,,FALSE
4s.43d,1D,2,49242.93,,FALSE
4s.43d,3D,2,49244.26,,FALSE
4s.44d,1D,2,49245.80,,FALSE
4s.44d,3D,2,49247.04,,FALSE
4s.45d,1D,2,49248.52,,FALSE
4s.45d,3D,2,49249.56,,FALSE
4s.46d,1D,2,49251.05,,FALSE
4s.46d,3D,2,49252.10,,FALSE
4s.47d,1D,2,49253.40,,FALSE
4s.47d,3D,2,49254.43,,FALSE
4s.48d,1D,2,49255.64,,FALSE
4s.48d,3D,2,49256.55,,FALSE
4s.49d,1D,2,49257.74,,FALSE
4s.49d,3D,2,49258.65,,FALSE
4s.50d,1D,2,49259.68,,FALSE
4s.50d,3D,2,49260.64,,FALSE
4s.51d,1D,2,49261.51,,FALSE
4s.51d,3D,2,49262.42,,FALSE
4s.52d,1D,2,49263.31,,FALSE
4s.52d,3D,3,49264.19,,FALSE
4s.53d,1D,2,49264.77,,FALSE
4s.53d,3D,2,49265.60,,FALSE
4s.54d,1D,2,49266.36,,FALSE
4s.54d,3D,2,49267.18,,FALSE
4s.55d,1D,2,49267.84,,FALSE
4s.55d,3D,2,49268.57,,FALSE
4s.56d,1D,2,49269.33,,FALSE
4s.56d,3D,2,49270.01,,FALSE
4s.57d,1D,2,49270.40,,FALSE
4s.57d,3D,2,49271.25,,FALSE
4s.58d,1D,2,49271.79,,FALSE
4s.58d,3D,2,49272.49,,FALSE
4s.59d,1D,2,49273.09,,FALSE
4s.59d,3D,2,49273.53,,FALSE
4s.60d,1D,2,49274.29,,FALSE
4s.60d,3D,2,49274.52,,FALSE
4s.61d,1D,2,49275.58,,FALSE
4s.62d,1D,2,49275.87,,FALSE
Ca II ,L,---,49305.9240,0.0020,FALSE
3d.4d,3D,1,51351.74,,FALSE
3d.4d,3D,2,51369.38,,FALSE
3d.4d,3D,3,51396.32,,FALSE
3d.4d,3G,3,51553.6,,FALSE
3d.4d,3G,4,51579.0,,FALSE
3d.4d,3G,5,51611.4,,FALSE
3d.4d,3S,1,51571.7,,FALSE
3d.4d,3F,4,53200.4,,FALSE
3d.4d,3F,2,53214.6,,FALSE
3d.4d,3F,3,53247.9,,FALSE
3d.4d,3P,0,54282.3,,FALSE
3d.4d,3P,1,54288.74,,FALSE
3d.4d,3P,2,54304.6,,FALSE
3d.5d,3D,2,56469.0,,FALSE
3d.5d,3S,1,56558.9,,FALSE
3d.5d,3P,0,57611.2,,FALSE
3d.5d,3P,1,57617.9,,FALSE
3d.5d,3P,2,57638.4,,FALSE
3d.6d,3P,1,59368,,FALSE
3d.6d,3P,2,59391,,FALSE
4p.4d,3D*?,1,62552.97,,FALSE
4p.4d,3P*?,1,62557.45,,FALSE
4p.4d,1P*?,1,62561.72,,FALSE
Ca II ,L,---,62956.15,,FALSE
Ca II ,L,---,63016.84,,FALSE
Ca II ,L,---,74497.46,,FALSE
Ca II ,L,---,74720.35,,FALSE
Ca II ,L,---,276750,,FALSE
Ca II ,L,---,279530,,FALSE
