n,configuration,term,S,L,J,energy_au,energy_cm,gf,conf%,converged,conf2,conf2%
1,2s2 2p5 3s,2P1,0.578,1.000,1.000,455.99891729,0.00,1.22789,96.24841,True,,
2,2s2 2p5 3s,2P1,0.657,1.000,1.000,455.56159858,95980.36,1.27211,96.24277,True,,
3,2s2 2p5 3d,3P1,0.998,1.098,1.000,453.23374443,606885.29,1.42197,99.31756,True,,
4,2s2 2p5 3d,3D1,0.848,1.779,1.000,452.86311109,688229.91,0.65571,99.51153,True,,
5,2s2 2p5 3d,2P1,0.330,1.232,1.000,452.36939630,796587.78,0.92234,98.91937,True,,
