 Config   Term   J   Level (cm⁻¹) Uncertainty (cm-1) Final Config   Config1   Config2   Term   J   Level (cm⁻¹)   Uncertainty (cm⁻¹)   Level (au)     ΔE     ΔE%
    5s2     1S   0              0                             5s2       5s2         -     1S   0            0.0                        0.61713606    0.0      0%
  5s.8d     3D   1              -                  -        5s.8d    5s.10d     5s.9d     3D   1        43245.6                         0.4200946      -       -
 5s.10s     3S   1       43427.44               0.19       5s.10s    5s.11s    5s.12s     3S   1        43601.5                        0.41847302  174.1    0.4%
 5s.10s     1S   0      43512.166              0.001       5s.10s    5s.11s    5s.12s     1S   0        43692.9                        0.41805677  180.7   0.42%
  5s.9d     1D   2      43755.755              0.025        5s.9d    5s.11d    5s.10d     1D   2        43939.5                        0.41693316  183.7   0.42%
  5s.9d     3D   2       43804.89              0.025        5s.9d    5s.11d     5s.9d     3D   2        43985.0                        0.41672559  180.1   0.41%
  5s.8g     3G   3              -                  -        5s.8g     5s.9g    5s.10g     3G   3        43854.9                        0.41731845      -       -
  5s.8g     1G   4              -                  -        5s.8g     5s.9g    5s.10g     1G   4        43855.0                        0.41731809      -       -
  5s.8g     3G   5              -                  -        5s.8g     5s.9g    5s.10g     3G   5        43855.2                          0.417317      -       -
  5s.8g     3G   4              -                  -        5s.8g     5s.9g    5s.10g     3G   4        43855.4                        0.41731596      -       -
  5s.9d     3D   1              -                  -        5s.9d    5s.11d     5s.9d     3D   1        43982.0                        0.41673947      -       -
  5s.9d     3D   3              -                  -        5s.9d    5s.11d     5s.9d     3D   3        43988.9                        0.41670792      -       -
 5s.11s     3S   1       44043.35                0.2       5s.11s    5s.12s    5s.13s     3S   1        44223.9                        0.41563732  180.6   0.41%
 5s.11s     1S   0      44097.122              0.001       5s.11s    5s.12s    5s.13s     1S   0        44274.1                        0.41540863  177.0    0.4%
 5s.10d     1D   2      44239.455              0.001       5s.10d    5s.12d    5s.10d     1D   2        44431.4                        0.41469188  191.9   0.43%
 5s.10d     3D   2       44286.91                0.2       5s.10d    5s.12d    5s.13d     3D   2        44472.6                        0.41450381  185.7   0.42%
  5s.9g     3G   3              -                  -        5s.9g    5s.10g    5s.11g     3G   3        44383.7                        0.41490902      -       -
  5s.9g     1G   4              -                  -        5s.9g    5s.10g    5s.11g     1G   4        44383.8                        0.41490877      -       -
  5s.9g     3G   5              -                  -        5s.9g    5s.10g    5s.11g     3G   5        44383.9                        0.41490798      -       -
  5s.9g     3G   4              -                  -        5s.9g    5s.10g    5s.11g     3G   4        44384.1                        0.41490727      -       -
 5s.12s     3S   1       44456.25               0.21       5s.12s    5s.13s    5s.14s     3S   1        44653.9                        0.41367774  197.7   0.44%
 5s.10d     3D   1              -                  -       5s.10d    5s.12d    5s.13d     3D   1        44469.6                         0.4145177      -       -
 5s.10d     3D   3              -                  -       5s.10d    5s.12d    5s.13d     3D   3        44476.4                        0.41448649      -       -
 5s.12s     1S   0      44492.835              0.001       5s.12s    5s.13s    5s.14s     1S   0        44677.7                        0.41356929  184.9   0.42%
    4d2     3P   0      44525.838               0.01          4d2       4d2       5p2     3P   0        44605.7                        0.41389775   79.9   0.18%
 5s.11d     1D   2      44578.689              0.001       5s.11d    5s.13d       4d2     1D   2        44773.9                        0.41313097  195.2   0.44%
    4d2     3P   1       44595.92              0.009          4d2       4d2       5p2     3P   1        44681.7                        0.41355136   85.8   0.19%
 5s.11d     3D   2       44619.84                0.2       5s.11d    5s.13d    5s.14d     3D   2        44815.3                        0.41294269  195.5   0.44%
    4d2     3P   2      44729.627               0.01          4d2       4d2       5p2     3P   2        44831.3                        0.41286957  101.7   0.23%
 5s.10g     3G   3              -                  -       5s.10g    5s.12g    5s.11g     3G   3        44747.4                        0.41325185      -       -
 5s.10g     1G   4              -                  -       5s.10g    5s.12g    5s.11g     1G   4        44747.5                        0.41325167      -       -
 5s.10g     3G   5              -                  -       5s.10g    5s.12g    5s.11g     3G   5        44747.6                        0.41325108      -       -
 5s.10g     3G   4              -                  -       5s.10g    5s.12g    5s.11g     3G   4        44747.7                        0.41325056      -       -
 5s.13s     3S   1       44747.65               0.15       5s.13s    5s.14s         -     3S   1        45013.3                        0.41204021  265.7   0.59%
 5s.13s     1S   0      44773.671              0.001       5s.13s    5s.14s    5s.13s     1S   0        45027.2                        0.41197724  253.5   0.57%
 5s.11d     3D   1              -                  -       5s.11d    5s.13d    5s.14d     3D   1        44814.8                        0.41294462      -       -
 5s.11d     3D   3              -                  -       5s.11d    5s.13d    5s.14d     3D   3        44822.5                        0.41290976      -       -
                                                                                                                                                                
   ~5p2     1D   2                                                                                                                                              
   ~4d2     1S   0                                                                                                                                              
