wavelength,alpha_0,alpha_1,alpha_2,alpha_tot,alpha(m=0)
0.000,190.447,0.000,0.000,190.447,190.447
1000.000,239.261,0.000,0.000,239.261,239.261
1000.500,239.199,0.000,0.000,239.199,239.199
1001.000,239.138,0.000,0.000,239.138,239.138
