n,configuration,term,S,L,J,energy_au,energy_cm,gf,conf%,converged,conf2,conf2%
1,5s 5p,3P1,0.999,1.000,1.000,0.55230790,0.00,1.49945,95.68366,True,,
2,5s 5p,3P2,1.000,1.000,2.000,0.55049845,397.13,1.49999,95.58292,True,,
3,5s 5p,1P1,0.002,1.000,1.000,0.52058093,6963.27,1.00054,76.55352,True,,
4,5p 4d,3F2,0.842,2.799,2.000,0.46712339,18695.84,0.74304,91.81634,True,,
5,5p 4d,3F3,1.000,2.999,3.000,0.46547183,19058.32,1.08357,91.21948,True,,
6,5p 4d,2D2,0.384,2.219,2.000,0.46493817,19175.44,0.94889,89.32630,True,,
7,5s 6p,3P1,0.929,1.000,1.000,0.46459542,19250.66,1.44796,70.51652,True,,
8,5s 6p,3P2,0.974,1.068,2.000,0.46411839,19355.36,1.47613,68.03215,True,5s 7p,21.09950
9,5p 4d,3F4,1.000,3.000,4.000,0.46390660,19401.84,1.25000,91.05430,True,,
10,5s 6p,1P1,0.178,1.001,1.000,0.46358956,19471.43,1.05153,64.43349,True,5s 7p,21.96123
11,5p 4d,3D1,0.998,1.996,1.000,0.45444148,21479.20,0.50334,88.25250,True,,
12,5p 4d,3D2,1.000,1.997,2.000,0.45385758,21607.35,1.16785,88.42119,True,,
