n,configuration,term,S,L,J,energy_au,energy_cm,gf,conf%,converged,conf2,conf2%
1,5s 4d,3D1,1.000,2.000,1.000,0.53770844,0.00,0.50000,94.88819,True,,
2,5s 4d,3D2,0.998,2.000,2.000,0.53739422,68.96,1.16625,94.83379,True,,
3,5s 4d,3D3,1.000,2.000,3.000,0.53686660,184.76,1.33331,94.79781,True,,
4,5s 4d,1D2,0.005,2.000,2.000,0.52758744,2221.30,1.00042,82.64086,True,,
5,5s 6s,3S1,1.000,0.000,1.000,0.48685600,11160.82,1.99997,87.39788,True,,
6,5s 5d,1D2,0.007,1.998,2.000,0.46080387,16878.60,1.00125,58.52696,True,5s 6d,22.95799
7,5s 5d,3D1,1.000,2.000,1.000,0.45952260,17159.81,0.50050,63.55157,True,5s 6d,32.37413
8,5s 5d,3D2,0.999,2.000,2.000,0.45945159,17175.39,1.16659,63.37646,True,5s 6d,32.48973
9,5s 5d,3D3,1.000,2.000,3.000,0.45934550,17198.68,1.33332,63.24562,True,5s 6d,32.75813
10,5p2,3P1,1.000,1.001,1.000,0.45638817,17847.74,1.49959,60.39644,True,4d2,29.66109
11,5p2,3P2,0.982,1.035,2.000,0.45516606,18115.96,1.48668,57.93971,True,4d2,30.78465
12,4d2,1D2,0.057,1.988,2.000,0.45022301,19200.83,1.00986,42.84854,True,5p2,28.29853
13,5s 7s,3S1,1.000,0.000,1.000,0.44854123,19569.94,1.99993,55.04088,True,5s 8s,38.65904
14,4d2,3F2,0.996,2.994,2.000,0.44654280,20008.55,0.66894,84.62208,True,,
15,4d2,3F3,1.000,3.000,3.000,0.44613337,20098.41,1.08331,84.92216,True,,
16,4d2,3F4,1.000,3.001,4.000,0.44555683,20224.94,1.24981,84.90167,True,,
17,5s 7d,3D1,1.000,2.000,1.000,0.43820374,21838.76,0.50001,62.88283,True,5s 6d,19.22230
18,5s 7d,3D2,0.970,2.000,2.000,0.43818039,21843.88,1.15928,62.83793,True,5s 6d,19.04374
19,5s 7d,3D3,1.000,2.000,3.000,0.43812290,21856.50,1.33333,63.17096,True,5s 6d,18.83217
20,5s 7d,1D2,0.082,2.000,2.000,0.43796776,21890.55,1.00739,60.72524,True,5s 6d,16.47305
21,5s 9s,3S1,1.000,0.000,1.000,0.43330339,22914.26,1.99999,65.33827,True,5s 8s,16.93882
22,4d2,1G4,0.011,4.000,4.000,0.43268917,23049.07,1.00039,72.64730,True,,
23,5s 6g,3G3,1.000,4.000,3.000,0.42987284,23667.18,0.75000,56.72436,True,5s 5g,28.81957
24,5s 6g,1G4,0.031,4.000,4.000,0.42987187,23667.39,1.00079,56.72987,True,5s 5g,28.80114
